Timestamp,AirPressure,AirTemperatureA,AirHumidity,AirTemperatureB,V450,B500,G550,Y570,O600,R650,SoilTemperatureA,SoilTemperatureB,TotalLuminosity
1/21/2022 21:00,988_5555725,15_5078125,44_81811524,14_984375,0_108035255,0_218258977,0_354630679,0_382562891,0_434246778,0_183940657,15_5078125,14_984375,1_681675237
1/21/2022 22:00,988_6810303,17_765625,55_8013916,17_5,0,0,0,0,0,0,17_765625,17_5,0
1/21/2022 23:00,988_2376709,15_546875,58_60900879,14_5546875,0,0,0,0,0,0,15_546875,14_5546875,0
1/22/2022 0:00,987_8673706,13_8203125,60_39123535,12_8671875,0,0,0,0,0,0,13_8203125,12_8671875,0
1/22/2022 1:00,987_8562012,12_6328125,60_79406738,11_96875,0,0,0,0,0,0,12_6328125,11_96875,0
1/22/2022 2:00,987_5229492,11_8515625,61_66687012,11_3203125,0,0,0,0,0,0,11_8515625,11_3203125,0
1/22/2022 3:00,987_1150513,11_359375,62_12768555,10_921875,0,0,0,0,0,0,11_359375,10_921875,0
1/22/2022 4:00,986_7437744,11,62_67089844,10_625,0,0,0,0,0,0,11,10_625,0
1/22/2022 5:00,986_6280518,10_6875,62_82348633,10_34375,0,0,0,0,0,0,10_6875,10_34375,0
1/22/2022 6:00,986_8717041,10_3984375,63_23547363,10_1015625,0,0,0,0,0,0,10_3984375,10_1015625,0
1/22/2022 7:00,987_1958008,10_1484375,63_38806152,9_8515625,0_684223235,0_526101887,0_837856472,0_692144513,0_737238109,0_494340509,10_1484375,9_8515625,3_971904725
1/22/2022 8:00,987_4497009,10_27552083,63_15368652,9_983333333,0_94345782,0_666178546,0_958187864,0_830141803,0_979835651,0_720089331,10_27552083,9_983333333,5_097891016
1/22/2022 9:00,987_7036011,10_40260417,62_91931152,10_11510417,1_202692405,0_806255205,1_078519257,0_968139092,1_222433193,0_945838153,10_40260417,10_11510417,6_223877307
1/22/2022 10:00,987_9575012,10_5296875,62_68493652,10_246875,1_461926991,0_946331865,1_19885065,1_106136382,1_465030736,1_171586975,10_5296875,10_246875,7_349863598
1/22/2022 11:00,988_2114014,10_65677083,62_45056152,10_37864583,1_721161576,1_086408524,1_319182042,1_244133671,1_707628278,1_397335798,10_65677083,10_37864583,8_475849889
1/22/2022 12:00,988_4653015,10_78385417,62_21618652,10_51041667,1_980396162,1_226485183,1_439513435,1_382130961,1_95022582,1_62308462,10_78385417,10_51041667,9_60183618
1/22/2022 13:00,988_7192017,10_9109375,61_98181152,10_6421875,2_239630747,1_366561842,1_559844828,1_52012825,2_192823362,1_848833442,10_9109375,10_6421875,10_72782247
1/22/2022 14:00,988_9731018,11_03802083,61_74743652,10_77395833,2_498865332,1_506638501,1_68017622,1_65812554,2_435420904,2_074582264,11_03802083,10_77395833,11_85380876
1/22/2022 15:00,989_227002,11_16510417,61_51306152,10_90572917,2_758099918,1_64671516,1_800507613,1_796122829,2_678018447,2_300331086,11_16510417,10_90572917,12_97979505
1/22/2022 16:00,989_4809021,11_2921875,61_27868652,11_0375,3_017334503,1_786791819,1_920839006,1_934120119,2_920615989,2_526079908,11_2921875,11_0375,14_10578134
1/22/2022 17:00,989_7348023,11_41927083,61_04431152,11_16927083,3_276569088,1_926868478,2_041170398,2_072117408,3_163213531,2_75182873,11_41927083,11_16927083,15_23176763
1/22/2022 18:00,989_9887024,11_54635417,60_80993652,11_30104167,3_535803674,2_066945138,2_161501791,2_210114698,3_405811073,2_977577552,11_54635417,11_30104167,16_35775393
1/22/2022 19:00,990_2426026,11_6734375,60_57556152,11_4328125,3_795038259,2_207021797,2_281833184,2_348111987,3_648408615,3_203326374,11_6734375,11_4328125,17_48374022
